vendor,catalog,description,bin_locations,ai_keywords
RAB,SEAL4,4' 30/40/50W LED VAPORTITE 35K/4K/5K 4000-6800LM,{17-20-701},"{""RAB SEAL4 LED Vapor Tight"",""LED vapor tight fixture"",""LED VAPORTITE"",SEAL4,""rated lumens 4000-6800LM"",""30W 40W 50W LED"",""3 color temperature options 35K 4K 5K"",""NEMA type"",""commercial lighting"",""weatherproof LED lighting""}"
RAB,SLIM17FA15ADJ,15W LED SLIM WALL PACK 3K/4K/5K ADJUSTABLE ANGLE,{20-59-808},"{""15W LED SLIM WALL PACK"",""RAB LED wall pack"",""adjustable angle LED fixture"",""15W SLIM wall pack"",""LED outdoor lighting"",""SLIM17FA15ADJ wall pack"",""3000K 4000K 5000K LED"",""NEMA type adjustable angle"",""energy-efficient wall pack light"",""rated for outdoor use""}"
RAB,SLIM17FA30ADJ,30W LED SLIM WALL PACK 3K/4K/5K ADJUSTABLE ANGLE,{21-03-806},"{""30W LED Slim Wall Pack"",""LED Wall Pack"",""Adjustable Angle LED Fixture"",""RAB Lighting SLIM17FA30ADJ"",""NEMA rated LED light"",""30W outdoor lighting"",""3K/4K/5K color temperature"",""LED flood light"",""commercial outdoor lighting"",""low profile LED""}"
RAB,SLIM17FAFC60,60W LED FULL CUTOFF WALL PACK 3K/4K/5K BRONZE,{17-29-702},"{""60W LED Full Cutoff Wall Pack"",""Wall Pack Light"",""Exterior Lighting"",""RAB SLIM17FAFC60"",""LED Wall Pack"",""Bronze Wall Pack"",""NEMA Type 3R"",""Outdoor LED Fixture"",""Full Cutoff LED"",""3000K 4000K 5000K Light""}"
RAB,SMSBULLET2X12A,12/18/24W LED SECURITY FLOOD 3K/4K/5K W/MS,{00-00-161},"{""12W LED Security Flood Light"",""18W LED Security Flood Light"",""24W LED Security Flood Light"",""RAB SMSBULLET2X12A"",""LED Floodlight"",""3K/4K/5K Color Temperature"",""Commercial Flood Light"",""Outdoor Lighting"",""NEMA Ratings"",""Electrical Security Lighting""}"
RAB,SMSBULLET2X12NA,*DISCONTINUED* (2)12W LED FLD 40K W/MTN SNSR BRZ,{17-21-903},"{""12W LED Flood Light"",""LED Flood Light Fixture"",""Outdoor Lighting"",""RAB SMSBULLET2X12NA"",""12W Energy Efficient Lighting"",""Mounting Sensor Included"",""Bronze Finish"",""40K Color Temperature"",""Rating: Not Applicable"",""NEMA Type: Not Applicable""}"
RAB,SR2,2' 10/14/19W LED STRIP 3K/4K/5K,{14-49-804},"{""RAB SR2 LED Strip Light"",""LED Strip 10W 14W 19W"",""LED Fixture"",""RAB Lighting"",""2 ft LED Strip"",""3K 4K 5K Color Temp"",""Linear LED Lighting"",""NEMA Type"",""Energy Efficient Lighting"",""Commercial Lighting""}"
RAB,SR8,8' 60/50/40W LED STRIP 3K/4K/5K,{20-57-700},"{""8' LED strip light"",""RAB SR8"",""60W LED strip"",""50W LED fixture"",""40W LED lighting"",""3600K 4000K 5000K LED"",""commercial LED lighting"",""long-lasting LED"",""NEMA type not applicable"",""high efficiency LED""}"
RAB,STL360,1000W SUPER STEALTH 360 SENSOR BRONZE,{17-27-802},"{""1000W SUPER STEALTH 360 SENSOR BRONZE"",""RAB STL360"",""360 sensor light"",""super stealth light"",""bronze outdoor sensor"",""1000 watts flood light"",""NEMA outdoor lighting"",""electrical sensor fixtures"",""motion sensor light"",""rugged bronze material""}"
RAB,STRING34100,100' 130W LED STRINGER LIGHT 5K 16000LM 80CRI 120V,{17-23-702},"{""100' LED Stringer Light"",""RAB STRING34100"",""LED string light"",""light string"",""130W LED"",""5000K color temperature"",""16000 lumens"",""80 CRI"",120V,""NEMA type not applicable""}"
RAB,STRING3450,50' 65W LED STRINGER LIGHT 5K 8000LM 80CRI 120V,{17-15-603},"{""50' LED STRINGER LIGHT"",""65W LED STRINGER"",""RAB STRING3450"",""8000LM LED LIGHT"",""80CRI STRINGER LIGHT"",""120V LED LIGHT"",""NEMA type LED STRINGER"",""outdoor string lights"",""commercial lighting"",""architectural LED lighting""}"
RAB,TUFFY,12W RECHARGEABLE WORK LIGHT 3K/4K/5K,{00-00-507},"{""12W RECHARGEABLE WORK LIGHT"",""work light"",""LED work light"",""rechargeable light"",""TUFFY work light"",""RAB light"",""5000K work light"",""4000K work light"",""3000K work light"",""UL listed work light""}"
RAB,TUFFYXL,32W RECHARGEABLE WORK LIGHT 5K 360 DEG,{00-00-301},"{""32W rechargeable work light"",""work light"",""rechargeable LED light"",""RAB Tuffy XL"",""5K color temperature"",""360-degree lighting"",""LED work light"",""portable work light"",""NEMA rating"",""outdoor work light""}"
RAB,VAN1750,VAN17 50/40/30W FA 3/4/5K PC BZ,{00-00-511},"{""RAB VAN1750"",""VAN17 50/40/30W"",""FA 3/4/5K"",""PC BZ"",Floodlight,""Outdoor lighting"",Photocell,""Bronze finish"",""LED light"",""NEMA type""}"
RAB,VX100DG,150W INCAN VAPOR PROOF W/CLR GLS & GUARD,{17-25-806},"{""150W Incandescent Vapor Proof"",""RAB VX100DG"",""Vapor Proof Light Fixture"",""Incan Vapor Proof Guard"",""IP65 Rated Lighting"",""Clear Glass Vapor Proof"",""150 Watt Clear Glass"",""NEMA Type 3R"",""Weatherproof Light Fixture"",""RAB Lighting""}"
RAB,VXBR100DG,"4"" BOX VAPORPROOF 100 WALL BRK",{17-25-906},"{""4 inch vaporproof box"",""RAB VXBR100DG"",""vaporproof enclosure"",""vapor proof junction box"",""NEMA rated box"",""weatherproof wall bracket"",""100 watt wall mount"",""box mounting hardware"",""electrical junction box"",""stainless steel construction"",101.6mm,""101.6 mm"",102mm,""102 mm"",10.16cm,""10.16 cm"",10.2cm,""10.2 cm""}"
RAB,VXRGB26,12/18/26W LED VAPOR PROOF RGB/5K 120-277V PC,{14-51-801},"{""12W LED Vapor Proof"",""18W LED Vapor Proof"",""26W LED Vapor Proof"",""RAB VXRGB26"",""LED Vapor Proof Fixture"",""RGB LED Light"",""5K LED Vapor Proof"",""120-277V LED Fixture"",""Polycarbonate LED Light"",""NEMA type for Vapor Proof""}"
RAB,W22L150,75/100/125/150W LED WLPK ADJ THROW 3K/4K/5K - LRG,{17-29-903},"{""75W LED flood light"",""100W LED flood light"",""125W LED flood light"",""150W LED flood light"",""LED WLPK adjustable throw"",""NEMA type adjustable LED"",""3K 4K 5K LED"",""RAB W22L150"",""LED outdoor lighting"",""high-output LED fixture""}"
RAB,W22M100,50/70/85/100W LED WLPK ADJ THROW 3K/4K/5K - MED,{17-16-901},"{""50W LED"",""70W LED"",""85W LED"",""100W LED"",""RAB W22M100"",""LED wall pack"",""adjustable throw light"",""3K 4K 5K color temperature"",""medium wattage"",""NEMA rated lighting""}"
RAB,W22S30,15/20/25/30W LED WLPK ADJ THROW 3K/4K/5K - SMALL,{00-00-402},"{""15W LED WLPK"",""20W LED WLPK"",""25W LED WLPK"",""30W LED WLPK"",""adj throw LED light"",""RAB W22S30"",""small LED fixture"",""3000K LED"",""4000K LED"",""5000K LED""}"
RAB,W34L,75W/100W/150W LED WALL PACK 3K/4K/5K - LARGE,{17-25-601},"{""75W LED Wall Pack"",""100W LED Wall Pack"",""150W LED Wall Pack"",""W34L RAB Wall Pack"",""Large LED Wall Pack"",""LED Outdoor Lighting"",""Wall Pack Light"",""NEMA Type LED Fixture"",""3K/4K/5K LED Color Temperature"",""RAB Lighting Wall Pack""}"
RAB,W34M,40W/60W/80W LED WALL PACK 3K/4K/5K - MEDIUM,{17-27-601},"{""40W LED WALL PACK"",""60W LED WALL PACK"",""80W LED WALL PACK"",""RAB W34M"",""LED Wall Pack Light"",""Medium LED Wall Pack"",""3000K LED Wall Pack"",""4000K LED Wall Pack"",""5000K LED Wall Pack"",""NEMA type lighting""}"
RAB,W34S,17W/25W/35W LED WALL PACK 3K/4K/5K - SMALL,{19-52-901},"{""RAB W34S LED Wall Pack"",""LED Wall Pack Light"",""3K 4K 5K LED Fixture"",""17W 25W 35W LED Light"",""Outdoor Lighting"",""NEMA Type LED Wall Pack"",""Energy Efficient Lighting"",""Commercial LED Fixture"",""Small LED Wall Pack"",""Classified for Outdoor Use""}"
RAB,WP3LED75L750U,*DELISTED* 51W LED TRADITIONAL WALLPK 50K 7543LM,{17-31-905},"{""RAB WP3LED75L750U"",""LED Wall Pack"",""LED Traditional Wall Pack"",""WP3 LED 75L 750U"",""51W LED Fixture"",""50K Color Temperature"",""7543 Lumens"",""NEMA Rated"",""Outdoor Lighting"",""Delisted Electrical Part""}"
RAB,WP3XFU120,80/100/120W LED WALLPACK 3K-5K W/PC - L,{20-35-803},"{""80W LED Wallpack"",""100W LED Wallpack"",""120W LED Wallpack"",""RAB WP3XFU120"",""LED outdoor lighting"",""Polycarbonate wall pack"",""NEMA rated outdoor light"",""3K to 5K LED color temperature"",""commercial LED lighting"",""energy-efficient wall pack""}"
RAB,WPX1,15/20/30W LED WALL PACK 3K/4K/5K 2500-4700L - SML,{17-19-704},"{""15W LED Wall Pack"",""20W LED Wall Pack"",""30W LED Wall Pack"",""LED Outdoor Lighting"",WPX1,""RAB Lighting"",""LED Wall Light"",""NEMA Rating"",""3K 4K 5K Color Temperature"",""2500L to 4700L Lumens""}"
RAB,WPX3,65/100/130W LED WALL PACK 3K/4K/5K 5800-11300L - L,{17-31-501},"{""LED Wall Pack"",WPX3,RAB,""Outdoor LED Fixture"",""3K/4K/5K Color Temperature"",""5800-11300 Lumen Output"",""Light Emitting Diode"",""NEMA Exterior Lighting"",65W/100W/130W,""Energy Efficient Lighting""}"
RAB,X22150,75/100/125/150W LED FLOOD 3K/4K/5K ADJ BEAM SF+TRN,{17-25-502},"{""75W LED Flood Light"",""100W LED Flood Light"",""125W LED Flood Light"",""150W LED Flood Light"",""Adjustable Beam Flood Light"",""3K 4K 5K LED Flood"",""RAB Flood Light"",""Outdoor Lighting"",""LED Flood Fixture"",""NEMA Rated Lighting""}"
RAB,X2235,20/25/30/35W LED FLOOD 3K/4K/5K ADJ BEAM KNUK+YOKE,{17-25-701},"{""20W LED flood light"",""25W LED flood light"",""30W LED flood light"",""35W LED flood light"",""adjustable beam"",""NEMA type"",""3K LED"",""4K LED"",""5K LED"",""RAB LED lighting""}"
RAB,X2260,30/40/50/60W LED FLOOD 3K/4K/5K ADJ BEAM KNUK+TRUN,{17-23-502},"{""30W LED Flood Light"",""40W LED Flood Light"",""50W LED Flood Light"",""60W LED Flood Light"",""Adjustable Beam Flood Light"",""RAB X2260"",""LED Flood Light 3K 4K 5K"",""NEMA Rated Flood Light"",""Knuckle Mount Flood Light"",""LED Outdoor Lighting""}"
RAB,X2280,50/60/70/80W LED FLOOD 3K/4K/5K ADJ BEAM KNUK+TRUN,{17-01-901},"{""LED Flood Light"",""RAB X2280"",""Adjustable Beam LED Flood"",""50W LED Flood"",""60W LED Flood"",""70W LED Flood"",""80W LED Flood"",""3000K LED Flood"",""4000K LED Flood"",""5000K LED Flood""}"
RAB,X34L,70/80/90W LED FLOOD 3K/4K/5K SLPFTR 120/277V,{17-25-706},"{""70W LED Flood Light"",""80W LED Flood Light"",""90W LED Flood Light"",""RAB X34L Flood Light"",""LED Flood Light 120V"",""LED Flood Light 277V"",""3K 4K 5K LED Flood"",""SLPFTR LED Flood Light"",""NEMA rated flood light"",""high lumen LED flood light""}"
RAB,X34LT,70/80/90W LED FLOOD 3K/4K/5K TRUN 120/277V,{17-32-702},"{""RAB X34LT"",""70W LED Flood Light"",""80W LED Flood Light"",""90W LED Flood Light"",""3K 4K 5K LED Flood"",""Trunnion Mount Flood Light"",""120V 277V LED Flood"",""LED Flood Fixture"",""Energy Efficient Flood Light"",""NEMA Rated LED Flood Light""}"
RAB,X34M,45/55/65W LED FLOOD 3K/4K/5K KNUCKLE 120/277V,{17-27-502},"{""45W LED Flood Light"",""55W LED Flood Light"",""65W LED Flood Light"",""LED Flood Light 3K"",""LED Flood Light 4K"",""LED Flood Light 5K"",""Knuckle Mount LED Flood Light"",""120/277V LED Flood Light"",""RAB X34M LED Flood"",""IP65 Rated Flood Light""}"
RAB,X34S,20/25/35W LED FLOOD 3K/4K/5K KNUCKLE 120/277V,{17-25-704},"{""20W LED Flood Light"",""25W LED Flood Light"",""35W LED Flood Light"",""RAB X34S"",""LED Outdoor Lighting"",Floodlight,""3K/4K/5K Color Temperature"",120V/277V,""NEMA Premium"",""Knuckle Mount""}"
RAB,X34SRGB,30W LED FLOOD 22K-65K RGB KNUCKLE MNT - BRONZE,{00-00-912},"{""30W LED Flood Light"",""LED Flood Light"",""RGB LED Flood"",""Knuckle Mount LED"",""Bronze Flood Light"",""RAB X34SRGB"",""NEMA Rated Flood Light"",""Outdoor Lighting"",""Adjustable LED Flood Light"",""2-Year Warranty LED""}"
RAB,X34XL,95/110/130W LED FLOOD 3K/4K/5K SLPFTR 120/277V,{17-23-905},"{""95W LED Flood Light"",""110W LED Flood Light"",""130W LED Flood Light"",""RAB X34XL"",""LED Floodlight"",""3K 4K 5K LED"",""SLPFTR Floodlight"",""120V LED Flood Light"",""277V LED Flood Light"",""NEMA rated flood light""}"
RAB,X34XLT,95/110/130W LED FLOOD 3K/4K/5K TRUN 120/277V,{17-29-602},"{""95W LED Flood Light"",""110W LED Flood Light"",""130W LED Flood Light"",""RAB Flood Light"",""LED Outdoor Lighting"",""LED Flood 120V"",""LED Flood 277V"",""3K LED Flood"",""4K LED Flood"",""5K LED Flood""}"
RAB,X34XS,10/13/16W LED FLOOD 3K/4K/5K KNUCKLE 120/277V,{14-44-805},"{""10W LED Flood Light"",""13W LED Flood Light"",""16W LED Flood Fixture"",""RAB X34XS"",""Knuckle Mount Floodlight"",""120V Flood Light"",""277V Flood Light"",""3000K LED Flood"",""4000K LED Flood"",""5000K LED Flood""}"
RAB,X34XXL,120/140/160W LED FLOOD 3K/4K/5K SLPFTR 120/277V,{17-19-401},"{""120W LED Flood Light"",""140W LED Flood Light"",""160W LED Flood Light"",""LED Flood Lighting"",""SLPFTR Floodlight"",""120/277V Flood Light"",""3K 4K 5K LED"",""RAB Flood Light"",""LED Outdoor Lighting"",""NEMA Type Flood Light""}"
RAB,YARM24,"24"" MOUNTING ARM",{00-00-202},"{""24 inch mounting arm"",""mounting arm"",""RAB YARM24"",""MOUNT ARM"",""mounting bracket"",""aluminum mounting arm"",""RAB lighting accessories"",""NEMA rated arm"",""heavy-duty mounting"",""rated for outdoor use""}"
RAB,YBLED,40/50/60W LED D-D YARDBLASTER 3K/4K/5K DIM 120-277,{14-61-804},"{""40W LED Yardblaster"",""50W LED Yardblaster"",""60W LED Yardblaster"",""RAB Yardblaster"",""LED outdoor lighting"",""dimmable LED fixture"",""120-277V LED light"",""NEMA type outdoor light"",""3K 4K 5K color temperature"",""YBLED LED fixture""}"
RAT,11470,EXTRA LARGE WIRE DISPENSER,{16-24-902},"{""EXTRA LARGE WIRE DISPENSER"",""Wire Dispenser"",""Wire Organizer"",""Wire Holder"",""RAT 11470"",""XL Wire Dispenser"",Plastic,""Heavy Duty"",""NEMA Type Ratings"",""Storage Solutions""}"
RAT,11480,2.0 WIRE DISPENSING TOOL,{11-39-902},"{""2.0 WIRE DISPENSING TOOL"",""wire dispenser"",""wire dispensing tool RAT"",""RAT 11480"",""wire tool"",""dispensing equipment"",""cable management tool"",plastic,""high rating"",""hand tool""}"
RAT,11931,TUG WISE - STANDARD,{16-44-902},"{""TUG WISE - STANDARD"",""TUG WISE"",TUGWISE,""Standard Tug"",""Electrical Connector"",""NEMA 5-15"",Copper,""High Rating"",Durable}"
RAT,30200,MC4 TOOL - SOLAR SERPENT,{88-06-701},"{""MC4 Tool"",""Solar Serpent"",""MC4 Connector Tool"",""Solar Panel Tool"",""Photovoltaic Tool"",""Solar Connection Tool"",""RAT MC4 Tool"",N/A,N/A,N/A}"
RAT,32050,POKE-E CABLE HOLDER - 12'/BOX,{88-01-705},"{""POKE-E CABLE HOLDER"",""cable management"",""cable holder"",""POKE-E holder"",""12 ft cable holder"",""cable organizer"",RAT,""box of 12"",""cable support"",N/A}"
RAT,40002,WIRE VORTEX PLUS,{35-08-805},"{""WIRE VORTEX PLUS"",""Vortex Wire"",Wire,""RAT WIRE"",""Insulated wire"",""Copper wire"",""600V rated"",""NEMA type: N/A"",""Electrical wire"",""Flexible wire""}"
RAT,42400,ROPEMATIC PRO - ROPE & FISHTAPE PULLER,{88-04-401},"{""ROPEMATIC PRO"",""rope puller"",""fishtape puller"",""RAT 42400"",""manual puller"",""pulling tool"",""cable pulling"",""rope and fishtape"",""handheld puller"",N/A}"
RAT,42675,"ROUND MULTI - TOOL HOLE SAW CUTTER - 3-3/8""",{88-01-703},"{""ROUND MULTI-TOOL HOLE SAW CUTTER"",""hole saw"",cutter,multi-tool,""3-3/8 inch hole saw"",""cutting tool"",RAT,""high carbon steel"",""rated for wood and metal"",""industrial tool"",85.7mm,""85.7 mm"",86mm,""86 mm"",8.57cm,""8.57 cm"",8.6cm,""8.6 cm"",9.5mm,""9.5 mm"",10mm,""10 mm"",0.95cm,""0.95 cm"",1cm,""1 cm""}"
RAT,42680,"ROUND MULTI - TOOL HOLE SAW CUTTER - 4-1/4""","{88-03-706,88-03-710}","{""ROUND MULTI-TOOL HOLE SAW CUTTER"",""hole saw, cutter, drill bit"",""RAT 42680"",""4-1/4 inch hole saw"",""metal cutting, wood cutting"",""high-speed steel, HSS"",""multi-tool accessory"",N/A,""5-star rated, top rating"",""RAT tools"",108mm,""108 mm"",10.8cm,""10.8 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm""}"
RAT,42700,"Q - BIT SINGLE GANG HOLE CUTTER - 2-3/8"" X 3-3/4""",{88-05-507},"{""Q-BIT SINGLE GANG HOLE CUTTER"",""hole cutter"",""core drill"",""1/4 inch hole saw"",""metal cutting tool"",RAT,""2-3/8 inches x 3-3/4 inches"",""high-speed steel"",""single gang"",""NEMA rated"",60.3mm,""60.3 mm"",60mm,""60 mm"",6.03cm,""6.03 cm"",6cm,""6 cm"",95.3mm,""95.3 mm"",95mm,""95 mm"",9.53cm,""9.53 cm"",9.5cm,""9.5 cm"",9.5mm,""9.5 mm"",10mm,""10 mm"",0.95cm,""0.95 cm"",1cm,""1 cm"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm""}"
RAT,42710,"Q - BIT SINGLE GANG HOLE CUTTER - 2-1/8 X 3-5/16""",{88-08-711},"{""Q-BIT SINGLE GANG HOLE CUTTER"",""hole cutter"",""core drill"",""2-1/8\"" x 3-5/16\"""",RAT,""cutting tool"",metal,durable,""high performance"",84.1mm,""84.1 mm"",84mm,""84 mm"",8.41cm,""8.41 cm"",8.4cm,""8.4 cm"",7.9mm,""7.9 mm"",8mm,""8 mm"",0.79cm,""0.79 cm"",0.8cm,""0.8 cm""}"
RAT,47000,CROC'S NEEDLE NOSE WIRE STRIPPERS,{88-10-906},"{""CROC'S NEEDLE NOSE WIRE STRIPPERS"",""wire strippers"",""needle nose wire strippers"",""CROC wire stripper"",""RAT 47000"",""wire stripping tool"",""insulated wire strippers"",""hand tool"",""copper wire strippers"",""electrician tool""}"
RAT,47002,CROC'S JR. NEEDLE NOSE WIRE STRIPPERS,{88-06-607},"{""CROC'S JR. NEEDLE NOSE WIRE STRIPPERS"",""wire strippers"",""needle nose strippers"",""CROC'S JR."",RAT,""insulated tools"",""hand tools"",""copper wire"",""high quality"",N/A}"
RAT,47010,V-CUTTER,{88-01-702},"{V-CUTTER,""cutting tool"",""v-cutting tool"",V-CUT,steel,high-quality,""RAT 47010"",""precision cutter""}"
RAT,47025,WIRE PEELER,{00-00-020},"{""WIRE PEELER"",""wire stripping tool"",""cable peeler"",""cable stripper"",""RAT 47025"",""copper wire tool"",""high carbon steel"",""hand tool"",""manual wire stripper"",""NEMA compliant""}"
RAT,48000,DRILLERS DUST BOWL,{16-22-707},"{""Drillers Dust Bowl"",""Dust Bowl"",""Drilling Accessories"",""Dust Collection"",""Material: Plastic"",""Vendor: RAT"",""Catalog: 48000"",""Drill Dust Control"",""NEMA Type: Not Applicable"",""Ratings: 5 Stars""}"
RAT,51020,NEW EXPLODING GARBAGE CAN WITH PLASTIC SHIELD,{16-28-501},"{""NEW EXPLODING GARBAGE CAN"",""RAT garbage can"",""exploding trash bin"",""plastic shield garbage can"",""waste disposal can"",""NEMA rating"",""outdoor trash receptacle"",""heavy duty garbage can"",""residential waste container"",""commercial trash unit""}"
RAT,52300,STUD BALL MAGNETIC STUD FINDER,{34-12-905},"{""STUD BALL MAGNETIC STUD FINDER"",""magnetic stud finder"",""stud finder"",""RAT 52300"",magnet,""wall scanner"",""interior wall detector"",N/A,plastic,""5-star rating""}"
RAT,52455,STAPLE SHARK - STAPLE REMOVER,{88-02-810},"{""Staple Shark"",""Staple Remover"",""staple removal tool"",""RAT STAPLE SHARK"",metal,""high rating"",""ergonomic design"",heavy-duty,""commercial use"",N/A}"
RAT,52493,"U-PHASE MARKER 4 COLOR - 1EA: BN, YL, OR, & GY",{88-01-706},"{""U-Phase Marker"",""Phase Marker"",""Color Coding Marker"",""4 Color Phase Marker"",""Electrical Markers"",""Voltage Markers"",""NEMA Rated Markers"",""BN Yellow Orange Gray"",""Wire Identification"",""Color Code Accessories""}"
RAT,54100,CLIP WHACKER - BEAM CLAMP TOOL,{88-01-704},"{""Clip Whacker Beam Clamp Tool"",""beam clamp tool"",""clamp tool"",BWCT,metal,""5 stars"",""NEMA type not applicable"",""construction tool"",""electrical installation tool"",""clamping device""}"
RAT,55455,E-Z ROLL WIRE RACK,{16-44-901},"{""E-Z ROLL WIRE RACK"",""wire rack"",""cable management"",""wire organizer"",""metal rack"",""RAT 55455"",""heavy-duty wire rack"",""wire storage solution"",""NEMA compliant"",""industrial wire rack""}"
RAT,65300,LADDER MATE,{16-24-801},"{""Ladder Mate"",""Electrical Connectors"",""ladder connector"",""ladder mate connector"",RAT,NEMA-rated,plastic,""outdoor use"",""high durability"",""weather resistant""}"
RAT,66455,RACKSY KNEE PADS,{22-58-714},"{""RACKSY KNEE PADS"",""knee pads"",""protective gear"",RAT,66455,""safety equipment"",""foam material"",""ergonomic design"",padding,""high ratings""}"
RAT,70140G,"DRIVER BIT - #1 GREEN SQUARE X 4""",{33-24-903},"{""DRIVER BIT #1 GREEN SQUARE"",""4 inch DRIVER BIT"",""GREEN SQUARE BIT"",""RAT DRIVER BIT"",""Square Drive Bit"",""1 Green Square Bit"",""Power Tool Accessories"",""Bit for Cordless Drill"",""High-Speed Steel Bit"",""DRIVER BIT"",101.6mm,""101.6 mm"",102mm,""102 mm"",10.16cm,""10.16 cm"",10.2cm,""10.2 cm""}"
RAT,70216RG,"IMPACT BIT-2 ENDED-ROBERTSON #2 & #1 X 6""-RD/GN",{34-12-602},"{""Impact Bit"",""Two Ended Bit"",""Robertson Bit"",""Double Ended Screwdriver"",""Bit Size #2 #1"",""Length 6 inches"",""Material Steel"",""Rated for Impact"",""Color Red Green"",""RAT Tools"",152.4mm,""152.4 mm"",152mm,""152 mm"",15.24cm,""15.24 cm"",15.2cm,""15.2 cm""}"
RAT,70261BL,"DRIVER BIT - #2 BLUE PHILLIPS X 6""",{23-03-608},"{""DRIVER BIT"",""Phillips screwdriver"",""#2 bit"",""6 inch driver"",""blue driver bit"",""RAT catalog 70261BL"",""bit set"",""screw-driving tool"",""high-quality material"",""industrial ratings"",152.4mm,""152.4 mm"",152mm,""152 mm"",15.24cm,""15.24 cm"",15.2cm,""15.2 cm""}"
RAT,70462RY,"DBLE-END MAGNETIC 2"" HEX DRIVER 1/4"" & 5/16""-RD/YW",{22-58-806},"{""DBLE-END MAGNETIC DRIVER"",""Hex Driver"",""2 inch Hex Driver"",""1/4 inch Driver"",""5/16 inch Driver"",""RAT Tools"",""Magnetic Hex Bit"",""Double End Driver"",""Yellow/Red Driver"",""NEMA Rated Tool"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm"",7.9mm,""7.9 mm"",8mm,""8 mm"",0.79cm,""0.79 cm"",0.8cm,""0.8 cm"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm""}"
RAT,70466RY,"DBLE-END MAGNETIC 6"" HEX DRIVER 1/4"" & 5/16""-RD/YW",{22-56-506},"{""DBLE-END MAGNETIC HEX DRIVER"",""HEX DRIVER"",""6 INCH HEX DRIVER"",""1/4 INCH DRIVER"",""5/16 INCH DRIVER"",""RAT TOOL"",""MAGNETIC BIT DRIVER"",""RAT DBLE-END DRIVER"",""MAGNETIC SOCKET"",""POWER TOOLS"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm"",7.9mm,""7.9 mm"",8mm,""8 mm"",0.79cm,""0.79 cm"",0.8cm,""0.8 cm"",152.4mm,""152.4 mm"",152mm,""152 mm"",15.24cm,""15.24 cm"",15.2cm,""15.2 cm""}"
RAT,70831BR,"HEX BIT - 7/16"" BROWN X 2.5""",{23-02-808},"{""HEX BIT 7/16\"" BROWN X 2.5\"""",""HEX BIT"",""HEX SOCKET BIT"",""7/16 INCH HEX BIT"",""BROWN HEX BIT"",""BIT SOCKET"",""RAT 70831BR"",""hand tool"",""screwdriver bit"",""tool accessory"",11.1mm,""11.1 mm"",11mm,""11 mm"",1.11cm,""1.11 cm"",1.1cm,""1.1 cm"",63.5mm,""63.5 mm"",64mm,""64 mm"",6.35cm,""6.35 cm"",6.4cm,""6.4 cm"",""2-1/2 inch"",""2-1/2\"""",127mm,""127 mm"",12.7cm,""12.7 cm""}"
RAT,70931BK,"HEX BIT - 1/2"" BLACK X 2.5""",{22-56-606},"{""HEX BIT"",""1/2 inch hex bit"",""black hex bit"",""RAT 70931BK"",""hex screwdriver bit"",""2.5 inch hex bit"",""1/2'' HEX BIT"",""black finish"",""socket bit"",""chrome vanadium"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",63.5mm,""63.5 mm"",64mm,""64 mm"",6.35cm,""6.35 cm"",6.4cm,""6.4 cm"",""2-1/2 inch"",""2-1/2\"""",127mm,""127 mm"",12.7cm,""12.7 cm""}"
RAT,72101,NUT BLASTER - XL YELLOW,{88-07-704},"{""NUT BLASTER XL YELLOW"",""nut blaster"",""nut removal tool"",""RAT 72101"",""yellow nut blaster"",""high torque nut tool"",""industrial nut remover"",""mechanical fastener tool"",""NEMA-rated nut blaster"",""heavy-duty nut tool""}"
RAT,7321526,UGLY'S ELECTRICAL REFERENCE 2026 EDITION,{21-03-805},"{""UGLY'S ELECTRICAL REFERENCE 2026 EDITION"",""electrical reference guide"",UGLY'S,""electrical handbook"",""2026 edition"",""RAT catalog 7321526"",""industry standards"",N/A,paperback,""high rating""}"
RAT,77455,BEND - ALL,{35-03-601},"{""BEND - ALL"",bend,bend-all,""cable bending tool"",""electrical tools"",metal,""high rating"",RAT,77455,""NEMA type L""}"
RAT,84000,DIRT BAG - ELECTRICAL SAFETY DRILLING TOOL,{16-20-803},"{""DIRT BAG ELECTRICAL SAFETY DRILLING TOOL"",""Drilling Tool"",""Safety Drilling Equipment"",""Electrical Drilling Tool"",""RAT 84000"",""Material: Durable Fabric"",""Rating: High Performance"",""NEMA Rating: Not Applicable"",""Common Synonyms: Drilling Safety Bag, Safety Drill Bag""}"
RAT,CC9024P10,CABLE CHASE 10PK,{16-27-502},"{""Cable Chase"",""Cable Management"",Raceway,""Wire Duct"",CC9024P10,""10 Pack"",Plastic,""Electrical Raceways"",NEMA,""Wire Routing""}"
